Date,Open,High,Low,Close,Adj Close,Volume
2012-06-18,121.199997,123.089996,116.370003,116.370003,116.370003,0
2012-06-25,116.290001,119.089996,114.690002,119.089996,119.089996,0
2012-07-02,118.889999,118.889999,117.910004,118.449997,118.449997,0
2012-07-09,119.620003,119.620003,116.129997,119.129997,119.129997,0
2012-07-16,115.089996,117.220001,114.190002,116.519997,116.519997,0
2012-07-23,120.260002,120.260002,114.400002,114.400002,114.400002,0
2012-07-30,114.860001,120.250000,113.989998,120.250000,120.250000,0
2012-08-06,114.790001,119.839996,113.550003,117.889999,117.889999,0
2012-08-13,121.650002,123.790001,119.889999,123.790001,123.790001,0
2012-08-20,125.839996,129.990005,122.410004,123.739998,123.739998,0
2012-08-27,121.529999,121.529999,119.000000,120.779999,120.779999,0
2012-09-03,119.589996,120.699997,119.309998,120.699997,120.699997,0
2012-09-10,122.370003,123.379997,115.690002,117.260002,117.260002,0
2012-09-17,122.690002,130.600006,122.440002,130.600006,130.600006,0
2012-09-24,129.119995,129.119995,124.059998,125.870003,125.870003,0
2012-10-01,128.169998,128.169998,120.389999,123.849998,123.849998,0
2012-10-08,122.059998,122.059998,120.459999,120.970001,120.970001,0
2012-10-15,122.449997,125.389999,122.449997,125.389999,125.389999,0
2012-10-22,122.989998,122.989998,119.309998,119.309998,119.309998,0
2012-10-29,115.040001,117.849998,115.040001,115.779999,115.779999,0
2012-11-05,115.519997,116.690002,115.400002,115.400002,115.400002,0
2012-11-12,114.230003,115.849998,113.230003,115.849998,115.849998,0
2012-11-19,113.459999,117.820000,113.459999,117.820000,117.820000,0
2012-11-26,116.959999,117.349998,116.120003,117.070000,117.070000,0
2012-12-03,115.980003,115.980003,114.550003,115.230003,115.230003,0
2012-12-10,114.769997,118.919998,114.769997,118.919998,118.919998,0
2012-12-17,118.059998,127.080002,117.860001,127.080002,127.080002,0
2012-12-24,124.470001,124.470001,118.379997,118.379997,118.379997,0
2012-12-31,121.269997,121.769997,115.529999,115.529999,115.529999,0
2013-01-07,116.779999,119.139999,116.779999,119.139999,119.139999,0
2013-01-14,117.190002,124.790001,117.190002,124.790001,124.790001,0
2013-01-21,126.730003,126.730003,124.709999,124.709999,124.709999,0
2013-01-28,122.949997,123.949997,121.639999,122.550003,122.550003,0
2013-02-04,122.599998,125.669998,122.449997,125.669998,125.669998,0
2013-02-11,125.529999,130.460007,125.529999,130.460007,130.460007,0
2013-02-18,130.149994,130.149994,122.580002,125.370003,125.370003,0
2013-02-25,121.500000,128.190002,121.500000,128.190002,128.190002,0
2013-03-04,128.649994,128.649994,124.459999,124.459999,124.459999,0
2013-03-11,125.209999,129.119995,125.209999,129.119995,129.119995,0
2013-03-18,126.169998,127.080002,121.690002,122.180000,122.180000,0
2013-03-25,122.029999,122.930000,121.989998,122.930000,122.930000,0
2013-04-01,121.209999,122.839996,118.339996,118.339996,118.339996,0
2013-04-08,119.209999,119.209999,117.239998,117.839996,117.839996,0
2013-04-15,119.919998,124.099998,119.919998,122.610001,122.610001,0
2013-04-22,120.519997,121.559998,118.860001,118.860001,118.860001,0
2013-04-29,118.849998,119.050003,117.949997,118.180000,118.180000,0
2013-05-06,116.930000,119.760002,116.930000,117.970001,117.970001,0
2013-05-13,119.160004,127.849998,116.160004,127.849998,127.849998,0
2013-05-20,117.669998,118.169998,116.919998,118.169998,118.169998,0
2013-05-27,112.470001,119.510002,112.470001,119.510002,119.510002,0
2013-06-03,119.160004,119.160004,116.199997,116.199997,116.199997,0
2013-06-10,116.199997,117.279999,115.559998,116.290001,116.290001,0
2013-06-17,116.739998,118.699997,116.739998,117.360001,117.360001,0
2013-06-24,116.080002,116.529999,115.230003,116.529999,116.529999,0
2013-07-01,114.849998,117.120003,113.129997,117.120003,117.120003,0
2013-07-08,117.129997,117.129997,115.190002,117.080002,117.080002,0
2013-07-15,114.419998,115.580002,113.070000,113.070000,113.070000,0
2013-07-22,112.900002,118.720001,112.900002,118.230003,118.230003,0
2013-07-29,118.930000,119.389999,115.059998,116.889999,116.889999,0
